waterpoint_id,latitude,longitude,waterpoint_image,functional_status,downtime_duration,abandon_reason,has_current_issue,current_issue,water_available_today,continuous_30days,no_water_30days_reason,repair_duration_days,seasonal_unavailable,seasonal_period,flow_test_possible,fill_time_20l,latrine_within_100m,observed_issues,water_quality_issues,preventive_maintenance,maintenance_barrier,user_population,universal_access,households_no_access,access_barrier,max_roundtrip_minutes,max_distance_metres,has_service_provider,provider_type,has_tariff,tariff_frequency,tariff_amount_mwk,tariff_cost_basis,has_financial_records,has_positive_balance,savings_or_loans,record_balance_mwk,has_bank_account,bank_balance_mwk,committee_year_formed,committee_member_count,committee_women_count,treasurer_gender,months_unavailable
420748388,-16.5332748,34.9906129,https://api.mwater.co/v3/images/7c62316f698f441ba0a54fd71331247b,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,38.984,Yes,No problems,NA,No,Lack of technical expertise,312,0,NA,NA,8,30,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
523110899,-16.4034176,34.8528824,https://api.mwater.co/v3/images/d7e508228cf441f2a3cb4d27a0926088,Not functional,1 - 2 years,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Yes,NA,269,0,NA,NA,30,350,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
523110909,-16.4052391,34.8497992,https://api.mwater.co/v3/images/a371cf3579974215805abbda52fc1a85,Not functional,1 - 2 years,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Yes,NA,209,0,NA,NA,30,300,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
523110916,-16.4035806,34.8421932,https://api.mwater.co/v3/images/fb1efabac7974946b232b3522374c769,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,63.943,No,Soil erosion or collapse around the water point,NA,Yes,NA,183,0,NA,NA,30,1000,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,10,6,Female,0
243391213,-16.2969429,34.8467184,https://api.mwater.co/v3/images/2773cfb51b5741c592aee55c531de2c5,Not functional,6 - 12 months,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,"Damage to civil works - platform, well head, riser etc, Water quality",Salinity / saltiness,No,Lack of technical expertise,68,0,NA,NA,20,500,Yes,"Water Point Committee, Area or Water Mechanic",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,10,6,Male,0
243391206,-16.299088,34.845069699999996,https://api.mwater.co/v3/images/5306af9300b24e0389c50853ad5a5133,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,54.14,Yes,No problems,NA,Yes,NA,164,0,NA,NA,60,800,Yes,"Water Point Committee, Area or Water Mechanic",Yes,Per month,200,"Affordability, Maintenance costs",Yes,Yes,Yes,21500,No,NA,2015,10,6,Male,0
243391189,-16.2994967,34.8422388,https://api.mwater.co/v3/images/10bc7843477e4294a5382dd95e1eedf8,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,NA,NA,NA,No,"Damage to civil works - platform, well head, riser etc",NA,NA,NA,58,NA,NA,NA,20,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391172,-16.3002318,34.8412298,https://api.mwater.co/v3/images/5e966b9217dc443996d1092587aeb9eb,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,NA,NA,No,Leakage from pump/ pedestal,NA,No,"Lack of money, Lack of technical expertise",275,NA,NA,NA,30,400,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391158,-16.3031985,34.8451898,https://api.mwater.co/v3/images/ed4906cff3814cbabb97b4736ef1bb92,Not functional,6 - 12 months,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,No,"Lack of technical expertise, Lack of money",225,0,NA,NA,45,500,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391134,-16.3081807,34.8436898,https://api.mwater.co/v3/images/43d70b24532441779f8f0d6dcaf8328b,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,50.551,No,No problems,NA,Yes,NA,102,0,NA,NA,35,500,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391127,-16.3111069,34.84086,https://api.mwater.co/v3/images/6c6e51def0654930899acf6e9ea3076b,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,48.691,No,No problems,NA,Yes,NA,89,0,NA,NA,30,500,Yes,Water Point Committee,Yes,Per month,200,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2015,10,6,Female,0
243391103,-16.3060134,34.83962189999999,https://api.mwater.co/v3/images/a0f1a436dc4a4d7fa252d2a3a60196f1,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,56.13,Yes,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,203,0,NA,NA,45,500,Yes,Water Point Committee,Yes,Per month,200,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2002,6,4,Male,0
243391086,-16.3085091,34.84067039999999,https://api.mwater.co/v3/images/355679adcd18464e9e4b664598a436c4,Not functional,1 - 6 months,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,No,"Lack of technical expertise, Lack of understanding/commitment to Preventative Maintenance",307,0,NA,NA,55,500,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391079,-16.3073281,34.8433836,https://api.mwater.co/v3/images/7f4fe94eb63e441280913977b2c81140,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,47.531,No,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,186,0,NA,NA,30,500,Yes,"Area or Water Mechanic, Water Point Committee",Yes,Per month,200,"Maintenance costs, Affordability",Yes,Yes,Yes,22150,No,NA,2015,10,5,Female,0
243391062,-16.3051485,34.8645152,https://api.mwater.co/v3/images/d995e4f0ebaf47f8bed2d4d3b6f82922,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,50.601,Yes,Leakage from pump/ pedestal,NA,Yes,NA,159,0,NA,NA,45,500,Yes,"Water Point Committee, Area or Water Mechanic",Yes,Per month,200,Maintenance costs,No,NA,NA,NA,No,NA,2018,8,5,Female,0
420748364,-16.530226,34.991394,https://api.mwater.co/v3/images/e99b1136408c4b89854d514267da932e,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,No,NA,No,"Damage to civil works - platform, well head, riser etc",NA,Sometimes,NA,426,0,NA,NA,15,60,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420748412,-16.5335849,34.9849413,https://api.mwater.co/v3/images/dce4e54772d34868abc5bd2a97f8ac46,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,No,NA,Yes,Leakage from pump/ pedestal,NA,Sometimes,NA,423,0,NA,NA,11,50,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420747930,-16.527378,34.9473574,https://api.mwater.co/v3/images/f442afffe22749b68df64dcef8469acb,Functional,NA,NA,Yes,"Structural problems - Civil works, apron, etc, Other",Yes,Yes,NA,NA,No,NA,No,NA,Yes,"Damage to civil works - platform, well head, riser etc",NA,No,Lack of technical expertise,496,0,NA,NA,5,30,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,11,5,Male,0
572187026,-16.3109988,34.8893389,https://api.mwater.co/v3/images/d6e4daca5bff451b863722a202ccee5b,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,61.341,Yes,Leakage from pump/ pedestal,NA,Yes,NA,528,0,NA,NA,6,20,Yes,Water Point Committee,Yes,"Flat fee plus fee per unit, Per month",500,Maintenance costs,No,NA,NA,NA,No,NA,2015,10,6,Female,0
572187057,-16.3103236,34.90965550000001,https://api.mwater.co/v3/images/a9a6570e58a4440a8a06ab6757e44653,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,51.691,No,No problems,NA,Yes,NA,860,1,162,"Long lines, System does not reach all community members",9,100,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572187095,-16.3125615,34.9041616,https://api.mwater.co/v3/images/5f98e3fd10254cd4b41914b1dc2e25e3,Not functional,More than 5 years,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,Damage or problem with pump,NA,No,Lack of understanding/commitment to Preventative Maintenance,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572187064,-16.3099425,34.9087686,https://api.mwater.co/v3/images/0eb161a9e51749d2b06389792f738845,No longer exists or abandoned,More than 5 years,Theft/Vandalism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Damage or problem with pump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
47349458,-16.4977642,34.8576602,https://api.mwater.co/v3/images/292645a25a6f441881aacb81770f5f36,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,39.51,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Leakage from pump/ pedestal",NA,Sometimes,NA,315,0,NA,NA,10,60,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
25011289,-16.5011788,34.863239,https://api.mwater.co/v3/images/16d59a60164d471287cb38ace29ad3ae,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.298,No,No problems,NA,Yes,NA,619,0,NA,NA,15,300,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
64964786,-16.4991648,34.86794449999999,https://api.mwater.co/v3/images/813db29fbefa48e5be1c00bd42f99235,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,43.725,No,No problems,NA,Yes,NA,416,0,NA,NA,16,450,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,11,6,Male,0
47338584,-16.4916215,34.862315,https://api.mwater.co/v3/images/6fa5b9451789415580f9dba843fe4d53,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,42.622,Yes,No problems,NA,Yes,NA,314,0,NA,NA,10,460,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,11,6,Male,0
47338649,-16.5211873,34.8406239,https://api.mwater.co/v3/images/a5e961a8ae954b2292c9464fd6937f12,Functional,NA,NA,Yes,"Structural problems - Civil works, apron, etc",Yes,Yes,NA,NA,No,NA,Yes,44.073,Yes,"Damage to civil works - platform, well head, riser etc",NA,Sometimes,NA,294,0,NA,NA,10,350,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
47338687,-16.5217293,34.8402936,https://api.mwater.co/v3/images/715d96439d1f4161a1d11f3d1abfafac,Not functional,More than 5 years,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,Yes,Other,NA,No,Other,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9193314,-16.5251166,34.8412656,https://api.mwater.co/v3/images/c84cf87e78454efe9d3de6cceecf3a6b,Functional,NA,NA,Yes,"Structural problems - Civil works, apron, etc",Yes,Yes,NA,NA,No,NA,Yes,43.174,Yes,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,315,0,NA,NA,12,450,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420748632,-16.5272611,34.849024299999996,https://api.mwater.co/v3/images/a3049fc329194418a99ef1b141f33027,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,No,NA,No,"Damage to civil works - platform, well head, riser etc",NA,Sometimes,NA,416,0,NA,NA,15,600,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
56944811,-16.4757726,34.8775767,https://api.mwater.co/v3/images/f3900f158a9e4eb3b4dcb52f5a3829cc,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,38.895,Yes,No problems,NA,Yes,NA,513,0,NA,NA,15,450,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,11,6,Male,0
23257115,-16.5286376,34.8515814,https://api.mwater.co/v3/images/cb4db9f0e742467cbdb7f03b2a38db71,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,47.68,No,No problems,NA,Sometimes,NA,296,0,NA,NA,10,400,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,11,6,Female,0
23257256,-16.5364015,34.8502316,https://api.mwater.co/v3/images/9c97e4170da946e5b92b9f453bc7ef82,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,37.511,No,No problems,NA,Sometimes,NA,319,0,NA,NA,12,350,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391457,-16.4650735,34.883616,https://api.mwater.co/v3/images/c944accbceaa44d9a05d664f5aefa668,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,41.292,No,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,Yes,NA,164,0,NA,NA,50,800,Yes,Water Point Committee,Yes,Per month,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2018,7,8,Female,0
243391433,-16.4704984,34.8757137,https://api.mwater.co/v3/images/eb4737a1d8cf4c1fbd9613f51d28ca55,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,43.381,No,No problems,NA,Yes,NA,138,0,NA,NA,30,500,Yes,"Area or Water Mechanic, Water Point Committee",Yes,Per month,300,Maintenance costs,Yes,Yes,Yes,65200,No,NA,2017,10,6,Male,0
243391426,-16.4666046,34.874686999999994,https://api.mwater.co/v3/images/9db78ff347d847d594b87973e01c9a4a,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,46.491,No,No problems,NA,Yes,NA,374,0,NA,NA,50,1000,Yes,"Water Point Committee, Area or Water Mechanic",Yes,Per month,200,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2021,10,5,Female,0
243391419,-16.4641475,34.8716005,https://api.mwater.co/v3/images/a6268ae31fde40949ad7764ebe7566c2,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.431,Yes,No problems,NA,Yes,NA,281,0,NA,NA,50,1000,Yes,Water Point Committee,Yes,Per month,400,"Affordability, Maintenance costs",Yes,Yes,Yes,51900,No,NA,2017,10,5,Male,0
243391392,-16.4666931,34.8673771,https://api.mwater.co/v3/images/9bef32108144427c9b4f286de8a1ee9d,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,"10, 11, 12",Yes,100.925,Yes,Other,NA,Yes,NA,143,0,NA,NA,60,600,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
243391361,-16.4612556,34.8688122,https://api.mwater.co/v3/images/33b871f6cea44abdb415a680f012b47e,Not functional,More than 5 years,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump",Salinity / saltiness,No,Lack of technical expertise,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391347,-16.4566396,34.8674162,https://api.mwater.co/v3/images/db645f1b25a642bc91f151a35ede7a22,Not functional,2 - 5 years,NA,NA,NA,NA,NA,NA,NA,Yes,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 11",NA,NA,No,Other,NA,No,Other,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
243391330,-16.4557908,34.8711869,https://api.mwater.co/v3/images/982324c54d524c379fb9ed1745713037,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,46.641,Yes,Water quality,Salinity / saltiness,No,Lack of technical expertise,61,0,NA,NA,20,400,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391299,-16.4614897,34.87416869999999,https://api.mwater.co/v3/images/f3ba610a9fe74939b96b742583fb993b,Not functional,1 - 6 months,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,No,"Lack of technical expertise, Lack of understanding/commitment to Preventative Maintenance",221,0,NA,NA,40,800,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391282,-16.4623558,34.8769212,https://api.mwater.co/v3/images/270fce9f18cd442fb52e5206624715f4,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,51.507,Yes,No problems,NA,Yes,NA,242,0,NA,NA,45,1000,Yes,"Water Point Committee, Area or Water Mechanic",Yes,Per month,200,"Affordability, Maintenance costs",Yes,Yes,Yes,70000,No,NA,2017,5,3,Female,0
243391268,-16.4625062,34.875779,https://api.mwater.co/v3/images/c8d41d29f5b5463786cea1982f0107cc,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,"08, 09, 10, 11, 12",Yes,101.51,Yes,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,72,0,NA,NA,60,500,Yes,Water Point Committee,Yes,Per month,200,"Maintenance costs, Affordability",Yes,Yes,Yes,38000,No,NA,2022,10,6,Female,5
243391244,-16.4647627,34.8737221,https://api.mwater.co/v3/images/cd8261fa9bc44623bfad70cad373ce8a,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,52.831,Yes,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,320,0,NA,NA,120,800,Yes,Water Point Committee,Yes,Per month,200,"Affordability, Maintenance costs",Yes,Yes,Yes,48800,No,NA,2016,10,5,Female,0
420748199,-16.5247787,34.9827607,https://api.mwater.co/v3/images/e8b88711d7e244179a1c680e95366aa2,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,42.571,No,No problems,NA,Sometimes,NA,389,0,NA,NA,7,550,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420748522,-16.4927714,34.860451899999994,https://api.mwater.co/v3/images/088af9e57d654f9bbfb51efd2918d6ee,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.621,Yes,No problems,NA,No,Other,319,0,NA,NA,12,450,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,11,6,Male,0
420748137,-16.5206682,34.9762811,https://api.mwater.co/v3/images/ca3532f177234d52b2819351216422ab,Functional,NA,NA,Yes,"Poor water quality - Salty, bad taste or colour, other contamination, Other",Yes,Yes,NA,NA,No,NA,No,NA,Yes,Water quality,Salinity / saltiness,Sometimes,NA,265,Don't know,NA,NA,10,450,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6003030,-16.4785072,34.8687161,https://api.mwater.co/v3/images/19d693ee83534bb785a623b71ffc45c5,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,43.639,Yes,"Damage to civil works - platform, well head, riser etc",NA,Sometimes,NA,315,0,NA,NA,8,430,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6001241,-16.4792614,34.8723682,https://api.mwater.co/v3/images/4da39cba57704f8b9485cec92ea18073,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,48.361,Yes,No problems,NA,Yes,NA,516,0,NA,NA,10,600,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,11,6,Male,0
523110868,-16.4064479,34.8655804,https://api.mwater.co/v3/images/0b1d8f4df156426fb9324b24e322e03a,Not functional,Less than 1 month,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,Yes,NA,561,0,NA,NA,30,450,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,10,6,Female,0
523110961,-16.4064772,34.8057661,https://api.mwater.co/v3/images/f2fd087e25b0483b985b82925e93b259,Not functional,1 - 6 months,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,Damage or problem with pump,NA,No,Lack of understanding/commitment to Preventative Maintenance,209,0,NA,NA,20,600,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,10,5,Male,0
523110875,-16.401704,34.8575519,https://api.mwater.co/v3/images/e949347a1ad44a1bae65e0994c71736e,Not functional,1 - 6 months,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Yes,NA,318,0,NA,NA,30,400,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,10,6,Male,0
37177423,-16.5320793,34.867718399999994,https://api.mwater.co/v3/images/1b556df16d81465995f3e5efef2a3870,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,No,NA,No,No problems,NA,Yes,NA,196,0,NA,NA,8,250,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9193730,-16.5255287,34.8425586,https://api.mwater.co/v3/images/18edef30164d47c5bed591e6f9c8fe84,Not functional,1 - 2 years,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,No,Other,NA,No,Other,0,Don't know,NA,NA,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
575377798,-15.2015584,35.4188333,https://api.mwater.co/v3/images/adcde61c52a344e19ef221e582dde78c,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,76.941,Yes,No problems,NA,No,Lack of technical expertise,180,0,NA,NA,50,500,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
